unit_id,sentence,role,prev,next,speakers,targets,source,date,target_l1,sample_score,sampling_reason
_5e83e31eaafd_u014,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",02_Ke_chinatimes_news,2023-07-05 09:01:00,L1-15,13.8,targeted_gap_filling
_34253e021eb8_u030,"(編輯:張芷瑄)1120815 賴清德會支持者 談民主前輩一路相挺數度哽咽 紐時:賴清德低調過境美國 力求展現穩健可靠形象 麻生太郎會賴清德 關切台灣是否有自我防衛決心 中國經濟陷困境 專家憂北京藉此升高台海風險 賴清德:中國巧製輿論 將2024大選形塑成戰爭和平選擇 賴清德:中國文攻武嚇損人不利己 疑賴論是為影響大選 出席舊金山僑宴 賴清德:努力打造台灣成亞洲矽谷 出訪巴拉圭返國 賴清德:國際社會非常重視台灣 侯友宜接受彭博專訪 暢談中國、國防預算與半導體 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"如果台積電選擇到美國或其他地方經營,是台灣經濟實力的拓展,也是國際供應鏈重組的一部分,他正面看待相關發展。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}]",[],03_Lai_chinatimes_news,2023-08-15 07:57:00,L1-15,13.8,targeted_gap_filling
_5e83e31eaafd_u014,"賴清德提出的4大支柱理念全文如下: 「首先,我們必須建立台灣的威懾力,防禦力是國家安全的基石。在蔡英文總統領導下,我們提高國防預算、實現兵役改革、增強軍隊實力;這些行動增加北京動武的風險和代價達到減少軍事衝突風險的目的。我將加速轉型、強化不對稱作戰,注重成本效益和機動能力。我將在兵力訓練、重組訓練程序、民防、訊息交換上,尋求與民主夥伴和盟友更廣泛的合作。 第二,經濟安全是國家安全。自民主化後,台灣展現強大科技實力。身為前台南市長,我對見證推動下一代技術的半導體產業在台南和台灣各地發展感到驕傲。身為前行政院長,我致力提高工資、減稅、和吸引新投資。 我們的經濟成果為我們帶來機會的同時,也為我們構成了挑戰,對中國貿易的依賴成為被利用的弱點、使我們承受經濟脅迫。我們必須確保供應鏈安全,同時追求能使對外貿易多元化的貿易協定。我將支持本土產業創新,減少不必要的監管措施,努力確保經濟成長的果實更為均衡共享。 第三支柱是基於與全世界民主國家建立夥伴關係。今年,台灣派出全亞洲第一支前往烏克蘭義診的醫療團,協助因戰火受傷的民眾。各國國會議員、非政府組織、智庫和官方代表訪台人數寫下紀錄,這證明儘管中共持續威脅,我們並不孤單。 第四支柱是穩定而有原則的兩岸關係領導能力。近年來,中國切斷交流,堅持九二共識和一個中國框架,習近平視此框架為實現統一的途徑。中國解放軍對台灣、日本和東南海鄰國的威脅行動,加劇區域的軍事緊張局勢。 儘管軍事和經濟挑戰日益增加,我的首要任務仍維持務實與一致性。我將支持兩岸現狀,這也符合中華民國,也就是台灣,以及國際社會的最佳利益。我不排除在對等和尊嚴的原則基礎上,進行無前提條件對話的可能性。 1996年來,儘管很多事情發生變化,但很多事情並沒有改變。中國軍機和軍艦依舊在台海四周活動、試圖影響我們的民主選舉。經濟上的緊張情勢依舊存在。每天我們都被提醒著,永遠不能將自由和民主視作理所當然。然而我現在的承諾和27年前一樣明確:我將永遠為台灣人民和國際社會的和平與穩定努力奮鬥」。",claim,看清當前所面對到的挑戰、並確保台海維持和平穩定。,"(編輯:張芷瑄)1120705 賴清德:台灣能成為經濟日不落國 重啟服貿是錯誤 賴清德:服貿若簽訂 台灣經濟將被鎖進一中原則市場 柯文哲:九二共識版本多 恢復兩岸實質交流較重要 侯友宜:接受合乎中華民國憲法的九二共識 賴清德:放棄主權的和平是假和平 籲支持守護主權者 侯友宜不排斥侯習會 促賴清德說清楚贊成或反對台獨 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""兩岸|cross-strait""]",03_Lai_chinatimes_news,2023-07-05 09:01:00,L1-15,13.8,targeted_gap_filling
_2609e62feb7c_u006,"(編輯:林淑媛)1130101 習近平新年賀詞指防疫平穩轉段 稱統一是歷史必然 辯論會交鋒憲法、國家定位 賴柯質疑中國介選助侯 侯友宜:反台獨反一國兩制 用國防實力嚇阻確保和平 蔡總統:台灣沒有廢除死刑 努力完善制度預防犯罪 總統:社會不該在核電爭議打轉 非核選項應大步前進 12項ECFA關稅取消 總統:不能把商業機制變政治威脅 民眾黨5/18人民要當家宣講 台中3藍委將出席 民進黨6/28全代會 台北國際會議中心舉行 蔡英文訪英國 15日將赴國會交流發表演說 日經:蔡英文即將訪英 凸顯台英關係持續深化 2025/05/19 20:30 2024/01/01 11:05 2024/01/01 10:19 2024/01/01 09:49 2024/01/01 09:12 2024/01/01 07:55 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,"她說,至於九二共識是國民黨主張與中國協商互動的政治基礎,和中華民國憲法是兩回事情,九二共識對國家主權是有風險,把九二共識與憲法混為一談,會使得中華民國憲法落入九二共識化的風險,這才是真正令人憂慮的地方,「中華民國憲法不是風險,但與九二共識的連結才是風險」。",,"[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""民進黨"", ""party"": ""DPP""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]","[""辯論|procedure"", ""ECFA|policy""]",03_Lai_chinatimes_news,2024-01-01 09:49:00,L1-15,13.8,targeted_gap_filling
_6cfbc4aa8ff3_u006,"(編輯:李錫璋)1120412 賴清德:擴大國際合作 引領價值外交新時代 22歲退伍士兵徒步環島登外媒 盼全民關注中共威脅[影] 侯辦疑雲豹與綠營關係深 民進黨:一再抹黑台灣綠能 民團代表退出 新北核安監督會遭指侯友宜後援會 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",context,"她表示,細數賴清德過往的發言有許多爭議,像是「加班就當作做功德」、一例一休、乾淨的煤等數不清的「賴皮」爭議言論,證明「賴神」所營造的光環都只是假象。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""民進黨"", ""party"": ""DPP""}, {""name"": ""綠營"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-04-12 13:17:00,L1-15,13.3,targeted_gap_filling
_4dbd2eac54ee_u007,"而過去在國民黨執政時,台日關係談的都是貿易、經濟、文化,甚至休閒、旅遊等,這一回完全不一樣,談的都是台海危機。",context,"侯友宜指出,在訪日過程中,他見到的每位日本政要、意見領袖,包括麻生太郎,都關心台海局勢;","侯友宜表示,台海危機是日本最關心的一件事,充分展現日方對台海危機的憂慮,包括麻生太郎都談到這些問題;","[{""name"": ""國民黨"", ""party"": ""KMT""}]",[],03_Lai_chinatimes_news,2023-08-02 19:01:00,L1-15,13.3,targeted_gap_filling
_a1fd2cdda993_u010,"(編輯:楊凱翔)1120418 賴清德:擴大國際合作 引領價值外交新時代 22歲退伍士兵徒步環島登外媒 盼全民關注中共威脅[影] 談前鎮漁港整建 陳吉仲:讓遠洋漁業永續 81億挺前鎮漁港整建 蘇貞昌:一次做好才能跟世界拚 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",context,"副總統說,未來希望大家共同合作,將資金用在台灣這塊土地的生存發展上,共同推動國家重大建設、一起造福台灣人,讓台灣在國際社會和未來競爭更有能力。",,"[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-04-18 22:11:00,L1-15,13.3,targeted_gap_filling
_ddd7b37896f1_u003,"賴清德分享過去擔任台南市長、行政院長期間,處理當時的「五缺」議題,以及近期他針對淨零轉型提出的各項政策及願景,包括推動創新經濟、發展再生能源等,讓台灣在面對氣候變遷的挑戰下,仍能順利與國際接軌。",context,"賴清德近日接受Yahoo TV「彭博士觀風向」節目專訪,談台灣如何因應氣候變遷議題。","節目中,賴清德憶起台南市長期間,開源節流、調度備援水資源,成功爭取台積電在台南設廠的過程,以及擔任行政院長,積極解決當時面臨的「五缺」議題,吸引台商回台投資。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-11-29 13:06:00,L1-15,13.3,targeted_gap_filling
_b572a4feddf9_u009,"目前全球面臨氣候變遷的挑戰、地緣政治的變化及疫後經濟復甦等議題,對每個國家、社會,甚至每一位年輕人而言,都是很大的考驗。",context,"賴清德表示,「時代考驗青年,青年創造時代」,這句話很適合當下的國際情勢。","不過眾志成城,如果大家能集思廣益,好好推動各項政策、落實各項方案,相信每一位青年都可以創造新的時代。",[],[],03_Lai_ltn_news,2023-04-14 17:03:21,L1-15,13.3,targeted_gap_filling
_4dbd2eac54ee_u007,"而過去在國民黨執政時,台日關係談的都是貿易、經濟、文化,甚至休閒、旅遊等,這一回完全不一樣,談的都是台海危機。",context,"侯友宜指出,在訪日過程中,他見到的每位日本政要、意見領袖,包括麻生太郎,都關心台海局勢;","侯友宜表示,台海危機是日本最關心的一件事,充分展現日方對台海危機的憂慮,包括麻生太郎都談到這些問題;","[{""name"": ""國民黨"", ""party"": ""KMT""}]",[],01_Ho_chinatimes_news,2023-08-02 19:01:00,L1-15,13.3,targeted_gap_filling
_c6c314c16709_u001,"(記者劉信德攝) 2023/09/28 05:30 〔記者陳昀/台北報導〕民進黨主席賴清德昨出席民進黨三十七週年黨慶創黨先進聯誼餐會時表示,他自一九九六年台海危機棄醫從政,至今中國併吞台灣的企圖仍未改變,他在歷史關鍵時刻擔任黨主席並參選總統,會向台灣社會展現民進黨守護台灣,促進民主、和平的決心一點都沒改變,為台灣負起歷史性責任,在民主道路上繼續壯大台灣。",claim,"民進黨主席賴清德昨出席黨慶創黨先進聯誼餐會,並致贈紀念品予前行政院長張俊雄伉儷。",立法院長游錫堃、前民進黨主席姚嘉文、前行政院長張俊雄等人均與會。,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""民進黨"", ""party"": ""DPP""}]",[],03_Lai_ltn_news,2023-09-28 05:30:00,L1-15,12.3,targeted_gap_filling
_5695643263fc_u011,"她表示,世界正劇烈變動,地緣政治快速變化,全球產業鏈重組中,數位轉型與氣候變遷也衝擊全球經濟,政府最重要的是要在變局中管理風險,不是喊喊「侯侯做代誌」、「把國家還給人民」就能解決問題。",claim,"透過 Google News 蕭美琴也說,蔡總統執政8年,從股市、國內生產毛額(GDP)、出口的成長都可證明民進黨比國民黨懂得拚經濟,且長照預算、幼兒照顧預算都高出國民黨時期許多,現在全世界的主要工業國,都在去風險化,極力降低對中國的依賴,如果藍白贏了,台灣恐又要走上依賴中國的老路,好的政策也有被翻盤的風險。","(編輯:翟思嘉)1121222 總統選舉首場政見發表會 侯友宜賴清德柯文哲發言一覽 柯文哲賴清德侯友宜拚2024總統大選 7大政見比一比 小笠原欣幸分析綠藍白副手加分點 蕭美琴趙少康吳欣盈各有微妙影響 蕭美琴陪高雄立委候選人車掃 大愛心回應熱情民眾 衛報:蕭美琴提倡戰貓哲學 以全球視野應對中國威脅 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",[],[],01_Ho_chinatimes_news,2023-12-22 20:13:00,L1-15,12.3,targeted_gap_filling
_6a453d3bc097_u008,"賴清德先前到三峽祖師廟及廣行宮參香祈福,他致詞時表示,台灣面對的挑戰,不是來自國內、國際,而是來自鄰居,中國的進步及人民可以過更好的日子,也是台灣人去投資、設廠及發展經濟的結果。",claim,"他強調,莊銘淵一直爭取的,勇敢承擔願在困難選區參選,中央黨部就應支持,既然軍令狀也簽了,一定要全力以赴,他要求莊銘淵的這場選舉一定要選得漂亮。","因此,面對中國的威脅,只有靠自己,就是總統要當選、立委要過半。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],03_Lai_chinatimes_news,2023-10-18 22:28:00,L1-15,12.3,targeted_gap_filling
_94f190a89430_u005,"郭台銘說,社會不安造成人心不穩,「為什麼求神拜佛、為什麼要問祖先,最主要是心裡不安定」,往後台灣要選擇和平還是戰爭,面臨經濟危機的海嘯可能到來,國家何去何從。",claim,"柯文哲表示,感佩廟宇做了許多公益事業,他的競選歌曲「簡單的人」,呼應他的為人認真打拚,簡簡單單,希望大家都平安成功。","(編輯:黃瑞弘)1121007 學生質疑民進黨貪污惹議 中山大學:珍惜交流空間 蘇貞昌打書不忘選情 高喊賴清德當選國會過半 新北中和成立聯合服務處 柯文哲輔選邱臣遠 柯文哲:藍白合的SOP以民意為基礎 2025/05/23 12:48 2023/10/07 18:28 2023/10/07 16:31 2023/10/07 13:03 2023/10/06 20:18 2023/10/05 18:01 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",[],[],02_Ke_chinatimes_news,2023-10-07 13:03:00,L1-15,12.3,targeted_gap_filling
_88bbe3d7ce95_u006,"第二是美國反對中國利用文攻武嚇、威脅利誘等各種手段在台灣扶植親中政權,因為這無助台灣未來發展,也影響印太地區的和平穩定,絕非國際社會之福。",claim,"賴清德推測,美方做法代表3項重大意義,第一是美國欲保護台灣得來不易的民主制度,期待下一任台灣總統由民眾自由意志決定,而非受到外力威脅;","第三,賴清德指出,美國肯定總統蔡英文的領導,近幾年讓國際社會上架台灣,台灣此刻應該要勇敢堅持下去跟民主陣營共同合作,發揮威懾的力量,並在全球產業鏈重組時,利用產業優勢為國際社會作出貢獻。",[],[],02_Ke_chinatimes_news,2023-11-14 22:11:00,L1-15,12.3,targeted_gap_filling
_d18308807836_u004,"侯友宜表示,為了台海安定與印太地區穩定,他提出以嚇阻(Deterrence)、對話(Dialogue)與降低風險(De-escalation)的「3D戰略」作為兩岸、國防與外交藍圖,他會在就職10個月內公布「中華民國國家安全戰略」,把3D戰略具體化,達到促進繁榮、確保民主與強化安全3大目標。",claim,"侯友宜:若當選啟動睦鄰外交 從新南向擴至印太 侯友宜說,他在國防方面會達成「建構國家安全戰略藍圖」、「志願役加薪,義務役服役不用等」、「厚植國防戰力基礎」與「十大建設打造可恃嚇阻戰力」共4大目標。","侯友宜說,為了留住人才,志願役要加薪百億,讓戰鬥單位志願役每月最多加薪1萬元,估計每年約增106億元國防預算,包含戰鬥加給增加67億元,志願役加給增加39億元。","[{""name"": ""侯友宜"", ""party"": ""KMT""}]","[""兩岸|cross-strait""]",02_Ke_chinatimes_news,2023-12-11 17:19:00,L1-15,12.3,targeted_gap_filling
_a4e40703886e_u008,"透過 Google News 沈伯洋表示,不管是今年美國對中國的撤資,G7決定對中國去風險化,全世界都對中國做出了決定,台灣站在民主自由陣營,應該延續原來的政策,延續與民主自由同盟的世界,若放棄了這點,持續回到九二共識、回到與中國同一個經濟體,那麼台灣的經濟無法獨立、文化無法生根,要怎麼面對下一代。",claim,"沈伯洋說,中國一直以來都想要介入台灣選舉,而台灣的選舉只要介入3%左右的票、也就是50萬左右,就足以逆轉所有選舉,中國要介入、影響台灣選舉結果,是非常容易的事。","他說,民進黨不分區名單有社福、資訊安全、國家安全、環保、性別、交通等專業,過去8年執政,也不是只有通過抗中保台相關法案,包括長照、弱勢照顧等議題,都在民進黨守備範圍,希望大家把選票投給民進黨,6號也代表回家打電話,希望大家幫忙打電話拉票、守護下一代。",[],[],02_Ke_chinatimes_news,2023-12-20 12:06:00,L1-15,12.3,targeted_gap_filling
_22bae0f8a1ca_u009,"在打造創新創業雨林生態系部分,賴清德主張針對高中低風險的投資機會,擬定不同投資策略和能量布建,目標5年內創造2萬個新創就業,新創投資金額每年達1500億元,10年內讓台灣成為創新解決方案的淨輸出國,具體作法包含落實法規調適、擴大國際新創聚落、提供年輕創業人才海外創新實習機會、吸引國際行銷人才加入台灣新創團隊等。",claim,"加速金融科技創新,強化有利產業發展的金融環境,並擴大普惠金融,全方位針對所有階層和群體的金融需求,擴大民眾投資資本市場多元的理財機會。","他說明,1500億元包含新創業者的投資、金融業及國家資金的挹注等,會是早期資金到各階段需求的加總。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],02_Ke_ltn_news,2023-10-03 11:58:35,L1-15,12.3,targeted_gap_filling
