unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,source,date,target_l1,sample_score,score_reasons,sampling_reason
_8fc53cc6b2be_u028,"魏貝珊說:「台灣是我的家。身為台、美公民,我想用英文幫忙訴說台灣故事。我們不斷遭到威脅,獲得支持的最好方式,便是透過我們的故事,讓世界感同身受。」 台灣民主需要人民和政府共同守護,她認為,與其邀請外國網紅來台拍攝,更重要的是要強調人民,讓世界同理台灣,展示民主價值,也就是島國的多元,最好的方式就是讓民眾說自己的故事,這也是「台灣製造」的初衷。",claim,透過 Google News 與台灣料理專家陳淑娥及台灣團隊的心血結晶「台灣製造」也將在誠品書店上架。,"(編輯:陳惠珍)1120821 紐時:台式炸雞風行美國 台裔美籍廚師巧手改造 疫情下出國旅遊遙不可及 韓國人靠台灣小吃解饞 全美鬧珍珠奶茶「波霸荒」 店家安撫消費者點不到別生氣 特派專欄/從台灣嫁到土耳其 陳俞均開餐廳用廚藝扮文化使者 2023年米其林必比登推介 139間入選台南最多新進榜【完整名單】 美國公視台灣特輯上架 陳傑憲「密碼手勢」入鏡[影] 民進黨桃園新住民諮詢站揭牌 提供法律諮詢等服務 紐西蘭跨黨派台灣友誼小組訪台 將晉見賴總統 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",[],[],False,,03_Lai_chinatimes_news,2023-08-21 10:19:00,L1-05,7.3,boundary_semantic|l2_L2-02|l2_L2-07|has_speaker|has_target|claim|good_length,l1_gap_filling
_c80fd45b2cdc_u005,"賴清德說,安倍不只是國際政治家,對日本政治與印太和平有貢獻,也是非常溫暖的人,安倍的溫暖每每令人感動不已,他在擔任台南市長時,2016年發生大地震,隔天安倍就派5個日本官員來到地震現場了解需求,要提供直接協助,那種貼心令他感動。",claim,"賴清德表示,他和台灣民眾衷心希望,安倍昭惠能走過哀傷,他想告訴安倍昭惠「大家都愛安倍前首相和他的母親,大家也都愛你」,盼安倍昭惠接受他代表蔡總統與台灣人民對安倍的感激。","賴清德表示,2018年他擔任行政院長,花蓮發生地震,安倍寫了台灣加油的話鼓勵台灣人,當台灣鳳梨受到中國抵制,農民生活出現困難,安倍為了推銷台灣鳳梨,不但自己購買來吃,還拍影片在網路傳播,「真的是令人非常感動、非常溫暖的人。」 賴清德說,當台灣面臨疫情威脅,安倍當時幫忙促成日本政府捐贈疫苗累計數量超過420萬劑,幫台灣度過難關,安倍對台關心支持,所做的遠比他剛講得更多,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_chinatimes_news,2023-07-17 20:16:00,L1-05,7.3,boundary_semantic|l2_L2-04|l2_L2-10|has_speaker|has_target|claim|good_length,l1_gap_filling
_ab2806530f8c_u009,"賴清德也提到,過去他台南市長任內曾拜訪一個眷村,眷村內的長輩對國家社會也有很大的貢獻,只是我們不知道、沒有接觸,他們對故鄉的那份感情,我們也應該要了解,不必然他們跟我們意見不同,在那個專制獨裁的年代,因為被分開了,沒有機會互相認識、了解,進而能夠互相團結,但為時不晚,自始至終他一直都認為,台灣一定要團結,在國家認同取得最大公約數,用民主力量團結台灣社會。",claim,"因此他先前也透過姚邀請過去的朋友一起聊聊,想了解他們真正的想法,怎麼解決這個分歧。","「蔣中正日記(1948-1954)」新書發表會於國史館舉行,蔣經國之三子蔣孝勇遺孀蔣方智怡(左)、蔣方智怡長子蔣友柏(右)出席。","[{""name"": ""賴清德"", ""party"": ""DPP""}]","[""國家認同|identity""]",False,,01_Ho_ltn_news,2023-11-09 20:48:35,L1-05,7.3,l2_L2-02|l2_L2-05|l2_L2-08|l2_L2-14|has_speaker|has_target|claim|good_length,l1_gap_filling
_d38aa68e8385_u005,"緊接著發言的紀文清指出,他本著自己優秀學經歷,看到北歐福利國的進步,沒有鐵窗鐵門,台灣博士碩士滿天飛,治安沒有比較好,他目前生活過得很好,看到社會現況愈來愈落後出來參選。",claim,"羅廷瑋還說,對手江肇國自登記參選以來總共開了5場記者會,4場在抹黑他,只有1場是發表政見,唯一的1場政見記者會還暗諷他「不是生3個就比較懂照顧」根本是抹黑控。","透過 Google News 最後發言的江肇國,在會中逐項說明他提出的十全十美政見,並補上立委黃國書移交清冊上代辦的60多項事項,也細數過去他在擔任市議員期間完成的綠空鐵道、審計新村及綠柳川整治等建設,有這樣推動重大政策的經驗,未來再延續對舊城的發展會更有信心。",[],[],False,,03_Lai_chinatimes_news,2024-01-05 22:30:00,L1-05,7.3,boundary_semantic|l2_L2-05|l2_L2-15|has_speaker|has_target|claim|good_length,l1_gap_filling
_d89970f8468b_u006,"賴清德表示,必須發展人工智慧,讓台灣產業化,再幫助其他產業人工智慧化,幫助廣大的中小企業順利數位轉型,妥善因應氣候變遷、淨零轉型;",claim,"賴清德說,全球智慧化時代來臨,要妥善運用科技創新、推升數位轉型,讓台灣成為智慧科技島,持續壯大半導體產業,提出半導體國家級戰略,讓半導體產業原料、儀器設備、研發、IC設計、晶圓製造、封裝測試、協力廠商,都能在台灣成為生態系統,並幫助其他科技、傳統產業。","台灣有150、160萬家中小企業,提供了900多萬工作機會,只要中小企業穩定、社會就會安定;","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,01_Ho_chinatimes_news,2023-12-26 15:53:00,L1-05,6.8,boundary_nli|l2_L2-03|l2_L2-13|has_speaker|has_target|claim|good_length,l1_gap_filling
_dda9fc0e19aa_u007,"王婉諭表示,時力一直跟公民社會站在一起,人民期待司法改革,期待居住正義,就必須一起檢視推進。",claim,"對於昨天遭群眾怒嗆,王婉諭表示,她代表時力黨團上台說話,本來就該對各黨在司改與居住正義的不作為有所著墨,時力批評國民黨、民進黨做不好之處,若遇到民眾黨或柯文哲就縮起來,「這算什麼時代的力量?」 王婉諭表示,任何黨公職或政治人物,本來就可受公評,尤其是想角逐總統大位者,更應檢討自己,在批評中有所進步,才是對公民社會負責任的態度。","透過 Google News 媒體詢問,昨天是否有群眾謾罵到女兒小燈泡。",[],[],False,,02_Ke_chinatimes_news,2023-07-17 12:24:00,L1-05,6.8,boundary_semantic|l2_L2-05|l2_L2-15|has_speaker|has_target|claim,l1_gap_filling
_f7a76f0d6b78_u003,"透過 Google News 巴奈今天告訴中央社記者,希望社會能對原住民族群的轉型正義有更多理解,「就像光會溫暖每一個人,特別是孩子們,在生命漫長的摸索過程中,可以好好長大。」巴大雄則表示,「不要讓無知蔓延成恐懼或厭惡,進而傷害別人。因為我很粗,一揮拳可能就薯條(死掉)了。」 巴奈邀請因「歪歌」爆紅的巴大雄合作新歌「你說你又沒有推他」,巴奈以溫柔有力量的歌聲控訴,搭配巴大雄戲謔諷刺的口白,讓歌曲形成強烈反差。",claim,"台中市某國中去年1名男學生墜樓,事後有人自稱為死者家屬在臉書(Facebook)發文,指該生被辱罵「死原住民」,而與同學起衝突,教師事後表示會依校規處理,死者擔心被記大過,之後就發生憾事。","MV場景設定在黑暗教室中,黑板直接寫上「烯環鈉」(諧音死番仔),代入今年某高中在園遊會上的擺攤命名事件。",[],[],False,,03_Lai_chinatimes_news,2023-08-30 13:57:00,L1-05,6.8,boundary_semantic|l2_L2-05|l2_L2-13|has_speaker|has_target|claim,l1_gap_filling
_ac813a53ae11_u000,"賴清德與磐石會企業人士合影,允諾會全力讓台灣經濟更繁榮發展,承諾會保護台灣得來不易的民主成果。",claim,,"(記者蔡淑媛攝) 2023/03/18 17:28 〔記者蔡淑媛/台中報導〕副總統賴清德今天出席磐石會會長交接典禮表示,政府會全力讓台灣經濟更繁榮發展,更承諾會保護台灣得來不易的民主成果,絕不放棄追求和平,而和平只有經由力量才能得到,「懦弱是最大的挑釁,給予侵略者的政治企圖」,","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,03_Lai_ltn_news,2023-03-18 17:28:55,L1-05,6.8,boundary_semantic|l2_L2-02|l2_L2-03|has_speaker|has_target|claim,l1_gap_filling
_0c0b2a53c3f5_u000,"台灣基進黨主席王興煥(中)、文化大學新聞學系副教授陳慧蓉(右)、台灣基進宜蘭縣立委參選人林意評(左)23日出席「全面禁抖音 民主防衛更有力」記者會,呼籲政府正視抖音危害,立法禁止抖音以保民主。",claim,,"(記者羅沛德攝) 2023/08/23 11:19 〔記者陳鈺馥/台北報導〕台灣基進今日召開「全面禁抖音、民主防衛更有力」記者會,質疑中國短影音平台「抖音」及國際版TikTok,已成為中共統戰宣傳工具,危害台灣青少年認知,洗腦影音入戶入腦,呼籲政府別再以言論自由當藉口,應立法全面禁用抖音。",[],[],False,,01_Ho_ltn_news,2023-08-23 11:19:49,L1-05,6.3,l2_L2-02|l2_L2-06|l2_L2-12|has_speaker|has_target|claim|good_length,l1_gap_filling
_edb90692a7bd_u006,"謝衣鳯表示,國民黨決定總統徵召人選前,會有稍微喜歡或不喜歡誰的聲音出現,人選決定後,她相信,大家會團結一致,共同合作,贏得2024總統大選。",claim,"謝衣鳯說,關於這個問題,應該不只有她,她相信大部分的人都是這樣看待,能跟優秀企業家「郭董」做朋友,大家都非常樂意跟他請益政策。","媒體又問,外界以「拔樁」之旅旅解讀「郭董」拜會謝典林,對此,謝衣鳯說,縣黨部今天借用議會場地,討論彰化縣黨部徵召第1、4選區立委人選,她是議長的姊姊,大家來交朋友、討論政策,討論台灣未來的方向、討論國家的經濟發展,這些都是平常應該要做事件,「不好意思,沒有這麼多的新聞給大家做。」 今年3月21日,國民黨主席朱立倫主持彰化縣黨部新任主委謝衣鳯布達典禮,謝衣鳯台上致詞,首度公開喊出「我們國民黨最強母雞是侯市長」,後來也多次支持表態支持侯友宜,被政壇歸類為「擁侯派」,她的弟弟謝典林則被視為「挺郭派」,姊弟各擁其主,藍營掀起漣漪。","[{""name"": ""國民黨"", ""party"": ""KMT""}]",[],False,,01_Ho_ltn_news,2023-04-28 13:59:27,L1-05,6.3,boundary_semantic|l2_L2-14|has_speaker|has_target|claim|good_length,l1_gap_filling
_bf6af180365e_u002,"東海大學政治系教授沈有忠指出,柯文哲才說從未接受九二共識,要如何跟國民黨談組閣,「就是為了騙選票而已」,並強調,聯合內閣基於相同理念,兩黨是基於權力交換、共同贏得選舉。",claim,"(記者楊堯茹攝) 2023/12/29 16:41 〔記者楊堯茹/台北報導〕民眾黨總統候選人柯文哲與國民黨總統候選人侯友宜,共同拋出聯合內閣制,引起議論。","台派聯盟今舉行「我們的未來要信賴誰?——總統政見發表會之後」記者會,由北社副社長羅浚晅、台灣社社長李川信、台灣島永續發展協會副理事長劉志堅等主持,並邀集多位青年學者出席發言。","[{""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}]",[],False,,01_Ho_ltn_news,2023-12-29 16:41:09,L1-05,6.3,boundary_semantic|l2_L2-14|has_speaker|has_target|claim|good_length,l1_gap_filling
_6e49430cb6ee_u017,"侯友宜表示,賴清德是務實台獨工作者,「你相信這會換來和平嗎,這是引戰」,唯有靠有共同理念的國民黨、民眾黨一起面對,才會創造和平契機。",claim,"侯友宜說,黨與黨的合作已不是先例,民進黨籍前總統陳水扁請國民黨籍的唐飛組閣,蔡總統領導的各部會首長也有其他黨派,所以賴清德不要再雙標。","(編輯:楊蘭軒)1121116 柯文哲:藍白協商退讓沒考慮個人 有信心柯侯配會贏 看待藍白合 賴清德:政治上沒有負負得正 郭辦:藍白合與郭柯合不互斥 24日前都可談 藍白協商民眾黨退讓 柯文哲:心情不好但更痛恨民進黨 藍白合3民調專家 陳陸輝莊伯仲關智宇獲推薦 黃國昌退出時力加入民眾黨 柯文哲當面邀任不分區立委 學者:台選舉不影響美對台政策 美國大選可能成轉捩點 侯友宜外交政見搭配合照 葛來儀:別暗示我挺侯 傳進入立院爭取副院長 黃國昌:毫無興趣想都沒想過 柯文哲續攻賴清德老家違建爭議 批涉誠信問題 2024/01/22 16:57 2024/01/15 11:44 2024/01/14 21:26 2024/01/14 20:59 2024/01/14 20:34 2024/01/14 20:09 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。","[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}]",[],False,,01_Ho_chinatimes_news,2023-11-16 16:21:00,L1-05,6.3,boundary_semantic|l2_L2-04|has_speaker|has_target|claim|good_length,l1_gap_filling
_293461c0630f_u004,"(編輯:趙敏雅)1130113 賴清德蕭美琴2024總統大選勝選獲558萬票 得票率40% 全文/賴清德勝選:國家走在正確路上 告訴世界台灣站在民主這邊 柯文哲承認敗選但不放棄:4年後再把票投給柯文哲、投給民眾黨 侯友宜承認敗選:沒有完成政黨輪替 我讓大家失望了 賴清德勝選3大意義 蔡英文8年執政破解8年魔咒 藍營總統敗選基本盤持續萎縮 總統票低於政黨票 國民黨重回國會多數黨 綠營合縱連橫拚突圍 美學者:台灣大選展現成熟民主國家樣貌 打破國際媒體框架 紐時:賴清德當選總統 台灣與中國漸行漸遠 柯文哲造勢成功甩開棄保 民眾黨獲8席不分區成關鍵少數 區域、不分區立委當選名單一次看 中選會公告第11屆選舉結果 綠:避免托嬰中心監視影像保存不當 支持監管雲管理 林月琴列不分區 賴清德盼台灣擺脫行人地獄惡名 立院龍頭改選 蔡其昌:應對國會改革有想法 柯文哲:推國會改革是民眾黨集體意志 不因遊說改變 2024/01/27 18:36 2024/01/13 23:31 2024/01/13 23:05 2024/01/13 22:49 2024/01/13 17:00 本網站之文字、圖片及影音,非經授權,不得轉載、公開播送或公開傳輸及利用。",claim,黃珊珊、黃國昌、陳昭姿、吳春城、麥玉珍、林國成、林憶君、張啓楷。,,"[{""name"": ""賴清德"", ""party"": ""DPP""}, {""name"": ""蕭美琴"", ""party"": ""DPP""}, {""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""柯文哲"", ""party"": ""TPP""}, {""name"": ""國民黨"", ""party"": ""KMT""}, {""name"": ""民眾黨"", ""party"": ""TPP""}, {""name"": ""綠營"", ""party"": ""DPP""}, {""name"": ""藍營"", ""party"": ""KMT""}]",[],True,campaigning,03_Lai_chinatimes_news,2024-01-13 22:49:00,L1-05,6.3,l2_L2-02|l2_L2-10|l2_L2-15|has_speaker|has_target|procedural|claim,l1_gap_filling
_d32bbdc9ee0a_u007,"不過,柯文哲說,中國的GDP持續上升,與美國對抗的壓力一定會愈來愈大,全球局勢將維持中美對抗架構,所以台灣應在此對抗架構下思考如何求取平衡,兩岸關係已不是台灣海峽兩岸,而是太平洋兩岸。",claim,"柯文哲指出,要決定如何與中國相處,得先釐清台灣與中國的關係,如果是內政問題就內政部處理,是國與國關係就外交部處理,不過台灣有「大陸委員會」,代表兩岸是「特殊關係」。","柯文哲指出,台灣要找到在世界中的平衡甚至最佳位置,可以從他國的角度來思考,找到對美國而言台灣與中國最適當的關係、對中國而言台灣與美國最適當的關係,並在這兩個範圍中找到交集。","[{""name"": ""柯文哲"", ""party"": ""TPP""}]","[""兩岸|cross-strait""]",False,,02_Ke_chinatimes_news,2023-10-21 12:18:00,L1-05,6.3,boundary_semantic|l2_L2-04|has_speaker|has_target|claim|good_length,l1_gap_filling
_6da1b187fd2a_u004,"賴清德說,「2個都不是適任的國家領導人」,2個不對的人,不會湊合在一起之後,不管誰正誰副,就可以成為對的一組,在政治上沒有負負得正的事,他的競選總部本就設定一對一的對戰模式,也有信心贏得選舉,「我們也一定會贏得這場選舉,我將帶領台灣持續在民主道路上壯大前進,走進國際社會,迎向未來,絕對不允許親中政權拖著台灣走回頭路」。",claim,"賴清德強調,不管藍或白都不是台灣的民意主流,推出的人選不但不能守護國家安全,也沒有辦法提出完整的國政藍圖。","記者詢問,如何看待台灣民眾黨總統參選人柯文哲專訪上爆料,美國在台協會(AIT)致電詢問藍白合是不是中國介入。","[{""name"": ""賴清德"", ""party"": ""DPP""}]",[],False,,02_Ke_chinatimes_news,2023-11-16 11:13:00,L1-05,6.3,l2_L2-02|l2_L2-05|l2_L2-10|has_speaker|has_target|claim|good_length,l1_gap_filling
_3574dd035fc1_u006,"侯友宜表示,這次國民黨全黨上下一心、空前團結,很可惜沒有完成政黨輪替,他非常謝謝在朱立倫帶領下,各縣市長與立委鼎力協助,更感謝給他滿滿關心的支持者,「我真的辜負了大家」,他要再次深深一鞠躬。",claim,"侯友宜說,他努力不夠,非常遺憾未能完成政黨輪替,「我讓大家失望了,我在這裡深深表達十二萬分歉意,抱歉,對不起大家」。","侯友宜說,他特別感謝趙少康,在關鍵時刻義無反顧力挺他與國民黨;","[{""name"": ""侯友宜"", ""party"": ""KMT""}, {""name"": ""國民黨"", ""party"": ""KMT""}]",[],False,,02_Ke_chinatimes_news,2024-01-13 21:20:00,L1-05,6.3,boundary_semantic|l2_L2-14|has_speaker|has_target|claim|good_length,l1_gap_filling
