window_id,doc_id,source,date,full_text_with_sentence_marks,l2_set_str,community_id,sampling_weight,interpretive_notes
_f2352b4b32f6_w0003,_f2352b4b32f6,01_Ho_chinatimes_news,,"[3] 國民黨也安排執政縣市首長、前總統馬英九、前主席吳伯雄、前高雄市長韓國瑜等人上台,與侯友宜及所有立委提名人一同高喊政黨輪替、台灣更好等口號,塑造團結氣勢。 [4]  [5] 侯友宜致詞時表示,2024年是非常關鍵的一年,台灣會前進還是後退,兩岸會戰爭還是和平,人民生活會更壞還是更好,都到了面臨決定的時刻。 [6] 民進黨執政,造成兩岸兵凶戰危,台海之間已經被國際認定是世界上最危險的地方、最有可能發生戰爭的地方。",L2-01|L2-03|L2-05|L2-07,0,3.0094001901080754,
_da7ca2bc7d8b_w0002,_da7ca2bc7d8b,01_Ho_ltn_news,,"[3] 馬英九指出,2015年他與中國國家主席習近平在新加坡見面,雙方同意好好實施「九二共識」、解決爭端,當時英國的經濟學人雜誌指這是中共對台灣最大的讓步,但6年後該雜誌卻說台灣是全世界最危險的地方,可見在外國人的眼中,台灣現在墮落有多麼的嚴重。 [4] 馬英九說,他很難想像一個政府可以爛到這個地步,要做到這麼爛,也實在不容易,尤其蔡英文總統拋出中華民國與中華人民共和國互不隸屬的兩國論,違反中華民國憲法,也違反其當初就職時宣示會遵守中華民國憲法的承諾,造成兩岸兵凶戰危,未來一定要重新回歸兩岸互不承認主權、互不否認治權的兩岸關係。 [5] 他強調,只要國民黨執政,兩岸關係就能回到和平、安定與繁榮,讓台灣擺脫全世界最危險的地方,大家要一起把國民黨總統參選人侯友宜送進總統府,照顧大家的幸福,整頓這個國家。",L2-01|L2-03|L2-05|L2-06|L2-07,0,3.009353813695665,
_369cd9d141d7_w0004,_369cd9d141d7,01_Ho_chinatimes_news,,"[8] 媒體提問環節,題目聚焦在兩岸、憲政和候選人名下土地房舍爭議。 [9] 柯文哲說,台灣在現階段不可能統一、不可能獨立,而且根據民調,90%的民眾希望維持現狀,但也藉此酸民進黨「可合作也要對抗」,國民黨讓人擔心「必須對抗卻要合作」。 [10] 他強調,台灣應在美國架構下求取最大利益,過去提出兩岸一家親是先表達善意,他的底線是台灣要保有現行民主自由制度,在此底線下,他願意基於對等尊嚴、5個互相原則跟對方談。",L2-01|L2-03|L2-05|L2-08,0,3.0093302322160023,
_33be6a003e2f_w0000,_33be6a003e2f,01_Ho_ltn_news,,"[0] 印度陸軍參謀長潘德在一場討論中國崛起的座談會上,抨擊中國「強權即真理」的國際秩序觀,且罕見三度提及台灣。 [1] 〔中央社〕印度陸軍參謀長潘德(Manoj Pande)在一場討論中國崛起的座談會上,抨擊中國「強權即真理」的國際秩序觀,且罕見三度提及台灣。 [2]  [3] 根據主辦單位分享的影片,潘德從政治、經濟、科技與軍事等4個角度,剖析中國的崛起,以及中國崛起對全球的可能影響。",L2-01|L2-02|L2-03|L2-05|L2-08,0,3.009275625510065,
_2001252c57f6_w0006,_2001252c57f6,01_Ho_chinatimes_news,,"[9] 賴清德解釋,「台獨」就是指台灣人民擁有這塊土地的所有權,台灣的主權不屬於中華人民共和國; [10] 「工作者」就是建設國家、發展經濟,造福人民,然後守護台灣的主權,抵抗中國的侵略,讓後代子孫可以在這個土地上面安居樂業。 [11] 賴清德表示,在印太情勢緊張之際,他的使命就是維護區域和平跟穩定,必須延續總統蔡英文4個堅持,而他投書華爾街日報提出的4大支柱則是行動方案。",L2-01|L2-02|L2-03|L2-05|L2-07,0,3.0092512011837678,
_93ee8519910b_w0003,_93ee8519910b,01_Ho_chinatimes_news,,"[4] 例如,已2024還在提九二共識,世界經貿已發生結構性變化,還在提重啟服貿,台灣目前再生能源已高過核能發電,還要重啟核四,拿上時代政策當政見,表示「只準備考古題,沒有準備好」。 [5]  [6] 不過很難得,這次3場政見發表會提許許多多主張,但越聽越熟悉,原來都是目前政府正在做的,例如重視財政紀律,但總統蔡英文任內還了9000億元,是歷任總統還債最多,要蓋社會住宅,但他當行政院長時成立住都中心,積極興建、目前中央所興建社會住宅已超過地方政府,類似情況不勝枚舉,他會把「複製貼上」當作是對政府讚美,也謝謝柯文哲對執政團隊的肯定。 [7]  [8] 他說,他提出國家希望工程,將打造民主和平的台灣,不會跟國民黨一樣走回頭路,甘願淪為極權主義的附庸,會團結人民,強化國防、強化經濟,強化跟民主陣營肩並肩站在一起,只要對等、尊嚴,門永遠是開的,願意跟中國進行交流合作,促進兩岸人民的福祉,他會不卑不亢維持現狀,保護台灣,同時穩定兩岸,也促進印太的和平。",L2-01|L2-02|L2-03|L2-05|L2-06|L2-07|L2-08,0,3.009247016672199,
_f8a6e08eee02_w0005,_f8a6e08eee02,01_Ho_chinatimes_news,,"[5] 在第3輪政見發表時,趙少康提及,「民進黨有兩塊神主牌」,一是台獨、一是反核。 [6] 他說,民進黨堅持抱著台獨的神主牌,可否請蕭美琴告訴他,全世界有哪一位領袖支持台灣獨立。 [7]  [8]  [9] 他質疑,民進黨的能源政策是徹底失敗的政策,民進黨為了空中樓閣的反核理念,讓台灣的能源陷入危機,錯誤的政策比貪污還可怕,這是最好的明證。",L2-01|L2-03|L2-05|L2-06,0,3.009168484076292,
_564e616f0f7c_w0004,_564e616f0f7c,01_Ho_chinatimes_news,,"[4] 侯友宜指出,中華民國是一個主權獨立的國家,會備戰不啟戰,持續強化自己的國防戰備,也就是維持嚇阻的實力,並且依據中華民國憲法,在兩岸以往的基礎上,逐步恢復包括官方在內的各種形式對話,讓兩岸在功能性議題上,持續互動,降低風險,進而降低敵意。 [5] 至於美台關係,侯友宜表示,美國是長期支持台灣的最重要盟友,美國對台灣的軍售,或是雙方的軍事合作與交流,都是台灣自主防衛上的關鍵角色,這樣的關係,一定會持續並且深化; [6] 特別是美國近來積極倡議的「印太經濟架構」,台灣身為地區的一份子,一定會善盡責任,希望美國能夠協助台灣共同參與,以及其他區域性的經濟整合倡議。",L2-01|L2-03|L2-05|L2-07,0,3.0089703339889664,
_20afb2de1725_w0006,_20afb2de1725,01_Ho_chinatimes_news,,"[7] 他重申,併吞台灣是中國的國家政策,而非受他或民進黨所刺激,也不是在野黨提出其他主張,就能改變中國意圖,加上中國國家主席習近平已清楚說過一中原則就是一國兩制,台灣若在國家定位上接受一中原則的九二共識,未來中國一旦翻臉,就連國際也無法幫助台灣,一時的和緩,不能稱作真正的和平。 [8] 賴清德說,台灣經濟已經走在正確的路上,若台灣接受了一個中國原則,又接受兩岸服務貿易協議,恐會讓經濟與產業走上回頭路。 [9] 賴清德強調,他若當選,兩岸發生戰爭的機會最小,他會在總統蔡英文的四大堅持之上,透過和平四大支柱行動方案,包含建立台灣的威懾力、經濟安全是國家安全、與全世界民主國家建立夥伴關係,穩定而有原則的兩岸關係領導能力等,讓台海永續和平與國家繁榮。",L2-01|L2-02|L2-03|L2-05|L2-06|L2-07|L2-08,0,3.0089616077183976,
_d594edeb850f_w0002,_d594edeb850f,01_Ho_ltn_news,,"[3] 據國民黨轉述,夏立言表示,就在18年前兩岸同樣面臨緊張情勢時,國民黨順應兩岸民眾對和平的渴望,通過「破冰之旅」化解了一觸即發的兩岸危局,此後在國民黨執政時期,兩岸在共同的政治基礎上,舉行數次會談,簽署多項攸關民生福祉的協議,開啟了雙方和平穩定、繁榮發展的黃金時代。 [4] 夏立言強調,當時雙方不僅定期進行「兩岸事務首長會議」,後來也成功於新加坡舉行「馬習會」,為兩岸領導人面對面平等協商、和平交流樹立典範,更得到國際社會的高度肯定,這不但證明了過去8年國民黨兩岸政策的正確性和重要性,而且也是國共兩黨合作下,不可忽視的重大成就。 [5] 夏立言認為,這些寶貴的政治資產,值得兩岸共同珍視,從過去的歷史經驗來看,無論兩岸關係經歷多少起伏波折,哪怕彼此有再大的分歧,但只要能夠繼續交流對話、累積互信,以智慧化解衝突,用包容尋求共識,把維繫台海和平當成重要目標,相信沒有什麼困難是不能化解的。",L2-01|L2-03|L2-05|L2-06|L2-07,0,3.0088965642167538,
_f2352b4b32f6_w0004,_f2352b4b32f6,01_Ho_chinatimes_news,,"[5] 侯友宜致詞時表示,2024年是非常關鍵的一年,台灣會前進還是後退,兩岸會戰爭還是和平,人民生活會更壞還是更好,都到了面臨決定的時刻。 [6] 民進黨執政,造成兩岸兵凶戰危,台海之間已經被國際認定是世界上最危險的地方、最有可能發生戰爭的地方。 [7] 侯友宜說,選對黨,用對人,做對的事,就是台灣繁榮,安居樂業,沒有和平,一切都是空談,沒有和平,一切努力,都會化為烏有,避免戰爭,追求和平,是每個國家領袖最重要的責任,他當總統最重要的事是堅持民主自由制度、強化國防軍備、加強兩岸交流、降低兩岸衝突,讓台灣遠離戰爭。",L2-01|L2-03|L2-05|L2-06|L2-07|L2-08,0,3.0088798882860557,
_5c022f2d5c57_w0008,_5c022f2d5c57,01_Ho_chinatimes_news,,"[11] 戰爭不是選項,2024大選是台灣人民要選擇有尊嚴的和平,「我們不會懷疑支持台灣的朋友」,更會讓全世界繼續信賴台灣。 [12] 蔡總統指出,去年「國際透明組織」全球評比,台灣的清廉指數創下27年來最佳成績,她不會容忍執政團隊的不肖個案與害群之馬; [13]  [14] 蔡英文說,司法要接近人民、不是接近總統,司法要讓人民參與、不是讓總統參與,因此推動國民法官、廢除特偵組;",L2-01|L2-03|L2-05|L2-06|L2-07|L2-08,0,3.008841457113668,
_54fec37dacb7_w0003,_54fec37dacb7,01_Ho_chinatimes_news,,"[3] 侯友宜今天上午出席治安會報前接受媒體聯訪時說,台灣最重要的要自立自信,更要自強,聯合更多國際友人支持。 [4] 侯友宜表示,台灣面對困境,唯有靠自己往前走,WHA問題已多年沒解決,所以面對逆境,「我們的堅定力要更強」,風雨生信心,大家一起努力,讓國家可以參加WHA。 [5] 對於是否預計9月要訪美、朱立倫會不會去,侯友宜說,黨中央在美國很努力溝通協調,最重要是選舉步驟如何跟國際友人對接,不單是美國,其他友善的國家也要多多交朋友,「朋友越多越好」。",L2-01|L2-03|L2-05|L2-07,0,3.0087920002430772,
_2b310077ad5b_w0007,_2b310077ad5b,01_Ho_chinatimes_news,,"[10] 趙少康也利用最後一次發言的機會,針對民進黨主張的台獨與反核提出質疑,趙少康說,民進黨堅持抱著台獨的神主牌,可否請蕭美琴告訴他,全世界有哪一位領袖支持台灣獨立; [11] 以及,民進黨的能源政策是徹底失敗的政策,民進黨為了空中樓閣的反核理念,讓台灣的能源陷入危機,錯誤的政策比貪污還可怕,這是最好的明證。 [12] 對於第1輪發言時口誤,趙少康在政見會結束後,面對媒體訪問時解釋,口誤是因為太氣了,看到賴清德的萬里老家被說是工寮,很難不生氣。",L2-01|L2-03|L2-05|L2-06,0,3.0087456204083747,
_964b7465e0a1_w0002,_964b7465e0a1,01_Ho_ltn_news,,"[3] 林昶佐在民進黨主席、總統參選人賴清德推薦下,昨天宣布已正式遞件加入民進黨。 [4] 今天他在立法院受訪時就透露,決定要加入綠營的動機,其實是民眾黨總統參選人柯文哲脫口說,要重啟兩岸服務貿易協議的時候,國民黨總統參選人侯友宜也跟進,自己有很大的感觸。 [5]  [6]  [7] 2019年決定退出時代力量的林昶佐,2020年順利以無黨籍身分連任立委,不時都會有人問他是否要加入民進黨,「我過去談過,當年已答應香港社運領袖黃之鋒以無黨籍的身分籌組台灣國會香港連線,後來提案推動『開放國會行動方案』、參與OGP(開放政府夥伴聯盟)、IPAC(對中政策跨國國會聯盟),這些國際工作都需要協調朝野政黨,維持無黨籍身分比較適切。雖然如此,我總是鼓勵無黨籍的戰友們應該加入民進黨,因為民進黨的大方向符合我們對國家未來、國際定位的看法,且已經有許多戰友在裡面打拚。」 林昶佐接著說:「開始思考入黨,是幾個月前柯文哲說要重啟服貿,而侯友宜立刻跟進的時候。我相當驚訝、意外,因為近年來,服貿議題幾乎已不再出現在台灣的公共議題之中,藍白卻讓這個過時的議題突然重回檯面。無論藍白是無知或是故意,從「重啟服貿」乃至於其許多對中政策,都剛好投中國所好、跟中國配合,無視中國透過經貿來滲透民主國家的嚴重性。實在難以想像藍白過半會對台灣的國家安全,以及經貿發展造成多大的傷害。」 他說,早在幾個月就已有以民進黨一員,為政黨票、為國會過半來努力的想法,之",L2-01|L2-03|L2-05|L2-07|L2-08,0,3.0086545654805565,
_c396b232ff47_w0003,_c396b232ff47,01_Ho_chinatimes_news,,"[4] 他表示,藍白合的過程中,大家更加清楚國民黨與民眾黨不是為了國家,也不是為了人民,完全是為了個人及政黨利益,聯合次要敵人要打倒主要敵人,相信大家不敢把國家重擔交給國民黨及民眾黨,期待他與民進黨副總統參選人蕭美琴當選確保國家得以穩健前行。 [5] 賴清德說,無論國民黨或民眾黨都是主張依賴中國路線,1個喊出接受92共識、一個中國原則,另1個喊出「兩岸一家親」,這場選舉,除要選出好的人選、穩健團隊外,也是選擇國家方向,他與蕭美琴代表的國家路線是「信賴台灣、走入世界、邁向未來」,絕不走依賴中國的回頭路。 [6]  [7]  [8] 他與蕭美琴若當選,一定會堅定守護台灣主權,促進繁榮及和平。",L2-01|L2-03|L2-05|L2-07,0,3.0085549154179057,
_9ae9673e4e36_w0004,_9ae9673e4e36,01_Ho_ltn_news,,"[7] 曹興誠表示,中國應該提出統一條件,提供台灣民眾進行公民投票,通過就可以繼續談,沒過就下次再談,要用民主程序遏阻中國的文攻武嚇,消除中國武力犯台的藉口,這是一個文明的方法。 [8]  [9]  [10] 1945年二戰結束時,世界上的主權獨立國家僅有60個,現在已有195個,且持續增加中,只要團結,未來一定有獨立的台灣共和國,這是趨勢。 [11] 他強調,聯合國的公民與政治權利國際公約講得很清楚,每個地方、民族都有選擇獨立地位的權利,任何地區的管理者都要努力促進這種權利的實現,若中國自認台灣是他的,就有義務幫台灣獨立,應遵守聯合國人權公約;",L2-01|L2-03|L2-05|L2-07|L2-08,0,3.0085334467114406,
_5712cb17dec8_w0004,_5712cb17dec8,01_Ho_chinatimes_news,,"[5] 副總統人選也為他們的優先要務為何,提供了強而有力跡象。 [6]  [7]  [8] 賴清德與蕭美琴都主張台灣已是實質獨立國家,需要在國際上獲得更多認可。 [9] 中國則稱賴清德是「麻煩製造者」,並已將蕭美琴列入「台獨頑固份子」制裁清單。",L2-01|L2-03|L2-05,0,3.0083798021865538,
_54fec37dacb7_w0005,_54fec37dacb7,01_Ho_chinatimes_news,,"[5] 對於是否預計9月要訪美、朱立倫會不會去,侯友宜說,黨中央在美國很努力溝通協調,最重要是選舉步驟如何跟國際友人對接,不單是美國,其他友善的國家也要多多交朋友,「朋友越多越好」。 [6]  [7]  [8]  [9]  [10] 透過 Google News 另外,針對民進黨立委陳歐珀近來遭指控與詐騙集團掛鉤,甚至傳出前總統府秘書長蘇嘉全與前警政署長陳家欽也遭控與詐騙集團主嫌同桌吃飯。 [11]  [12] 媒體詢問,針對七大工業國集團(G7)峰會說要防範中國、以及對九二共識立場是什麼。",L2-01|L2-03|L2-05,0,3.0083689657966093,
_3c879f131da4_w0009,_3c879f131da4,01_Ho_tvbs_news.csv,,"[23] 馬英九:所以你不知道當時的兩岸關係是多麼和平。 [24] 我們跟中國大陸簽署了23個協議,兩岸人員往來超過500萬人次,我2015年在新加坡會見了習近平,《經濟學人》雜誌的結論是說, 中國大陸在台灣主權問題上做出了20世紀80年代以來最大的讓步,所以他們基本上相信,當我擔任總統時,雙邊關係會相對和平。 [25]  [26] 但民進黨就不一樣了,因為他們一生都有台獨的信念,這對中國大陸來說是最大的禁忌,所以他們非常仔細地觀察候選人的行為。",L2-01|L2-03|L2-05|L2-06,0,3.0082466419045635,
